winner,seconds,minerals_current,vespene_current,minerals_collection_rate,vespene_collection_rate,workers_active_count,minerals_used_in_progress_army,minerals_used_in_progress_economy,minerals_used_in_progress_technology,vespene_used_in_progress_army,vespene_used_in_progress_economy,vespene_used_in_progress_technology,minerals_used_current_army,minerals_used_current_economy,minerals_used_current_technology,vespene_used_current_army,vespene_used_current_economy,vespene_used_current_technology,minerals_lost_army,minerals_lost_economy,minerals_lost_technology,vespene_lost_army,vespene_lost_economy,vespene_lost_technology,minerals_killed_army,minerals_killed_economy,minerals_killed_technology,vespene_killed_army,vespene_killed_economy,vespene_killed_technology,food_used,food_made,minerals_used_active_forces,vespene_used_active_forces,ff_minerals_lost_army,ff_minerals_lost_economy,ff_minerals_lost_technology,ff_vespene_lost_army,ff_vespene_lost_economy,ff_vespene_lost_technology
1,400,415,152,867,313,23,200,400,0,200,0,0,200,2300,725,200,0,0,400,0,0,400,0,0,300,650,0,50,0,0,126976,258048,200,200,0,0,0,0,0,0
0,400,960,35,895,0,13,150,100,150,0,0,100,200,1875,400,0,0,75,300,650,0,50,0,0,400,0,0,400,0,0,90112,188416,200,0,0,0,0,0,0,0
1,410,525,192,923,313,23,200,400,0,200,0,0,300,2300,725,300,0,0,400,0,0,400,0,0,300,650,0,50,0,0,135168,258048,300,300,0,0,0,0,0,0
0,410,1060,35,979,0,15,150,0,0,0,0,0,200,1975,550,0,0,175,300,650,0,50,0,0,400,0,0,400,0,0,90112,188416,200,0,0,0,0,0,0,0
1,420,620,232,895,335,23,200,400,0,200,0,0,300,2300,725,300,0,0,400,0,0,400,0,0,300,700,0,50,0,0,135168,258048,300,300,0,0,0,0,0,0
0,420,1015,35,979,0,14,150,0,0,0,0,0,200,1925,550,0,0,175,300,700,0,50,0,0,400,0,0,400,0,0,86016,188416,200,0,0,0,0,0,0,0
1,430,535,72,923,335,23,200,400,0,200,0,0,300,2300,725,300,0,0,450,0,0,450,0,0,300,750,0,50,0,0,135168,258048,300,300,0,0,0,0,0,0
0,430,985,35,1035,0,13,150,0,0,0,0,0,350,1875,550,0,0,175,300,750,0,50,0,0,450,0,0,450,0,0,94208,188416,350,0,0,0,0,0,0,0
1,440,645,108,895,335,23,200,400,0,200,0,0,250,2300,725,250,0,0,550,0,0,550,0,0,300,750,0,50,0,0,131072,258048,250,250,0,0,0,0,0,0
0,440,995,35,979,0,13,150,100,0,0,0,0,350,1875,550,0,0,175,300,750,0,50,0,0,550,0,0,550,0,0,102400,188416,350,0,0,0,0,0,0,0
1,450,655,48,951,335,23,200,400,0,200,0,0,350,2300,725,350,0,0,550,0,0,550,0,0,300,750,0,50,0,0,139264,258048,350,350,0,0,0,0,0,0
0,450,1090,35,1007,0,15,150,0,0,0,0,0,500,1975,550,0,0,175,300,750,0,50,0,0,550,0,0,550,0,0,114688,188416,500,0,0,0,0,0,0,0
1,460,650,84,867,313,23,200,500,0,200,0,0,350,2300,725,350,0,0,550,0,0,550,0,0,300,750,0,50,0,0,139264,258048,350,350,0,0,0,0,0,0
0,460,900,43,783,44,15,150,175,0,0,0,0,500,1975,550,0,0,175,300,750,0,50,0,0,550,0,0,550,0,0,122880,188416,500,0,0,0,0,0,0,0
1,470,660,24,867,313,23,200,500,0,200,0,0,300,2300,725,300,0,0,600,0,0,600,0,0,300,750,0,50,0,0,135168,258048,300,300,0,0,0,0,0,0
0,470,870,63,531,156,15,100,175,100,0,0,0,550,1975,550,0,0,175,300,750,0,50,0,0,600,0,0,600,0,0,122880,188416,550,0,0,0,0,0,0,0
1,480,760,64,811,313,23,200,100,0,200,0,0,350,2700,725,350,0,0,600,0,0,600,0,0,300,850,0,50,0,0,139264,319488,350,350,0,0,0,0,0,0
0,480,775,79,531,156,15,150,175,100,0,0,0,650,1975,550,0,0,175,300,850,0,50,0,0,600,0,0,600,0,0,135168,188416,650,0,0,0,0,0,0,0
1,490,800,54,867,335,23,200,0,0,200,0,0,400,2800,725,400,0,0,600,0,0,600,0,0,300,900,100,50,0,0,143360,352256,400,400,0,0,0,0,0,0
0,490,835,99,503,156,16,150,0,0,0,0,0,650,2100,550,0,0,175,300,900,100,50,0,0,600,0,0,600,0,0,131072,188416,650,0,0,0,0,0,0,0
1,500,915,90,839,313,23,200,0,0,200,0,0,500,2800,725,500,0,0,600,0,0,600,0,0,350,950,100,50,0,0,151552,352256,500,500,0,0,0,0,0,0
0,500,905,127,531,201,15,0,0,0,0,0,0,750,2050,550,0,0,175,350,950,100,50,0,0,600,0,0,600,0,0,122880,188416,750,0,0,0,0,0,0,0
1,510,1020,130,895,335,23,200,0,0,200,0,0,250,2800,725,250,0,0,850,0,0,850,0,0,500,1000,100,50,0,0,131072,352256,250,250,0,0,0,0,0,0
0,510,820,155,587,223,14,150,0,0,0,0,0,600,2000,550,0,0,175,500,1000,100,50,0,0,850,0,0,850,0,0,118784,188416,600,0,0,0,0,0,0,0
1,520,1025,70,923,335,23,200,0,0,200,0,0,250,2800,725,250,0,0,900,0,0,900,0,0,500,1000,100,50,0,0,131072,352256,250,250,0,0,0,0,0,0
0,520,685,183,531,246,14,150,100,0,0,0,0,600,2000,550,0,0,175,500,1000,100,50,0,0,900,0,0,900,0,0,126976,188416,600,0,0,0,0,0,0,0
1,530,1080,56,895,313,23,200,0,0,200,0,0,300,2800,725,300,0,0,900,0,0,900,0,0,500,1000,100,50,0,0,135168,352256,300,300,0,0,0,0,0,0
0,530,615,207,559,223,16,150,100,0,0,0,0,750,2100,550,0,0,175,500,1000,100,50,0,0,900,0,0,900,0,0,147456,188416,750,0,0,0,0,0,0,0
1,540,1040,96,895,313,23,200,100,0,200,0,0,400,2800,725,400,0,0,900,0,0,900,0,0,500,1050,100,50,0,0,151552,352256,400,400,0,0,0,0,0,0
0,540,785,231,615,223,15,100,50,0,0,0,0,750,2050,550,0,0,175,500,1050,100,50,0,0,900,0,0,900,0,0,135168,188416,750,0,0,0,0,0,0,0
1,550,845,36,923,335,23,200,100,0,200,0,0,400,2800,725,400,0,0,900,0,0,900,0,0,500,1050,100,50,0,0,151552,352256,400,400,0,0,0,0,0,0
0,550,760,259,643,223,16,100,50,0,0,0,0,750,2100,550,0,0,175,500,1050,100,50,0,0,900,0,0,900,0,0,139264,188416,750,0,0,0,0,0,0,0
1,560,800,26,867,335,25,200,175,0,200,0,0,400,2900,725,400,0,0,900,0,0,900,0,0,500,1050,100,50,0,0,159744,352256,400,400,0,0,0,0,0,0
0,560,240,112,671,223,16,150,50,0,125,0,0,850,2100,550,0,0,175,500,1050,100,50,0,0,900,0,0,900,0,0,151552,188416,850,0,0,0,0,0,0,0
1,570,900,62,895,335,25,200,250,0,200,0,0,400,2900,725,400,0,0,950,0,0,950,0,0,500,1050,100,50,0,0,159744,352256,400,400,0,0,0,0,0,0
0,570,270,140,671,223,17,150,450,50,125,0,50,850,2150,550,0,0,175,500,1050,100,50,0,0,950,0,0,950,0,0,155648,188416,850,0,0,0,0,0,0,0
1,580,1020,102,951,335,27,200,250,0,200,0,0,450,3000,725,450,0,0,950,0,0,950,0,0,500,1150,100,50,0,0,172032,352256,450,450,0,0,0,0,0,0
0,580,240,164,615,201,15,250,450,50,125,0,50,850,2050,550,0,0,175,500,1150,100,50,0,0,950,0,0,950,0,0,155648,188416,850,0,0,0,0,0,0,0
1,590,1130,142,979,335,27,150,175,0,150,0,0,550,3075,725,550,0,0,950,0,0,950,0,0,500,1300,100,50,0,0,176128,352256,550,550,0,0,0,0,0,0
0,590,240,180,223,156,13,250,450,50,125,0,50,850,1950,550,0,0,175,500,1300,100,50,0,0,950,0,0,950,0,0,147456,188416,850,0,0,0,0,0,0,0
1,600,1255,194,1007,403,29,150,0,0,150,0,0,550,3250,725,550,0,0,950,0,0,950,0,0,550,1400,100,50,0,0,176128,352256,550,550,0,0,0,0,0,0
0,600,265,196,139,134,11,100,450,50,0,0,50,950,1850,550,125,0,175,550,1400,100,50,0,0,950,0,0,950,0,0,135168,188416,950,125,0,0,0,0,0,0
1,610,1295,150,1119,447,29,200,0,0,200,0,0,600,3250,725,600,0,0,950,0,0,950,0,0,600,1400,100,50,0,0,184320,352256,600,600,0,0,0,0,0,0
0,610,325,208,447,111,12,0,400,50,0,0,50,1000,1900,550,125,0,175,600,1400,100,50,0,0,950,0,0,950,0,0,131072,188416,1000,125,0,0,0,0,0,0
1,620,1435,202,1147,447,29,150,0,0,150,0,0,600,3250,725,600,0,0,1000,0,0,1000,0,0,700,1400,100,50,0,0,180224,352256,600,600,0,0,0,0,0,0
0,620,395,224,559,134,12,0,400,0,0,0,0,900,1900,600,125,0,225,700,1400,100,50,0,0,1000,0,0,1000,0,0,122880,188416,900,125,0,0,0,0,0,0
1,630,1420,108,1147,470,29,200,0,0,200,0,0,450,3250,725,450,0,0,1200,0,0,1200,0,0,850,1400,100,50,0,0,172032,352256,450,450,0,0,0,0,0,0
0,630,455,240,559,134,12,0,400,0,0,0,0,750,1900,600,125,0,225,850,1400,100,50,0,0,1200,0,0,1200,0,0,110592,188416,750,125,0,0,0,0,0,0
1,640,1570,160,1175,470,29,200,0,0,200,0,0,450,3250,725,450,0,0,1200,0,0,1200,0,0,850,1400,100,50,0,0,172032,352256,450,450,0,0,0,0,0,0
0,640,180,127,587,111,12,350,400,0,125,0,0,750,1900,600,125,0,225,850,1400,100,50,0,0,1200,0,0,1200,0,0,139264,188416,750,125,0,0,0,0,0,0
1,650,1695,212,1063,447,29,150,0,0,150,0,0,550,3250,725,550,0,0,1200,0,0,1200,0,0,850,1400,100,50,0,0,176128,352256,550,550,0,0,0,0,0,0
0,650,255,143,587,134,12,350,400,0,125,0,0,750,1900,600,125,0,225,850,1400,100,50,0,0,1200,0,0,1200,0,0,139264,188416,750,125,0,0,0,0,0,0
1,660,1745,164,1147,447,29,200,0,0,200,0,0,500,3250,725,500,0,0,1250,0,0,1250,0,0,900,1400,100,50,0,0,176128,352256,500,500,0,0,0,0,0,0
0,660,165,155,587,111,12,350,400,0,125,0,0,700,1900,600,125,0,225,900,1400,100,50,0,0,1250,0,0,1250,0,0,135168,188416,700,125,0,0,0,0,0,0
1,670,1735,220,1119,447,29,200,100,0,200,0,0,500,3250,725,500,0,0,1250,0,0,1250,0,0,900,1400,100,50,0,0,184320,352256,500,500,0,0,0,0,0,0
0,670,235,171,559,111,12,300,400,0,125,0,0,900,1900,600,125,0,225,900,1400,100,50,0,0,1250,0,0,1250,0,0,147456,188416,900,125,0,0,0,0,0,0
1,680,1845,284,1063,515,29,150,100,0,150,0,0,600,3250,725,600,0,0,1250,0,0,1250,0,0,900,1400,100,50,0,0,188416,352256,600,600,0,0,0,0,0,0
0,680,315,187,587,134,12,150,400,0,0,0,0,1050,1900,600,250,0,225,900,1400,100,50,0,0,1250,0,0,1250,0,0,147456,188416,1050,250,0,0,0,0,0,0
1,690,1715,264,951,649,31,150,100,0,150,0,0,600,3350,725,600,0,0,1250,0,0,1250,0,0,900,1400,100,50,0,0,196608,352256,600,600,0,0,0,0,0,0
0,690,225,203,559,134,12,150,400,0,0,0,0,1200,1900,600,250,0,225,900,1400,100,50,0,0,1250,0,0,1250,0,0,159744,188416,1200,250,0,0,0,0,0,0
1,700,1735,265,979,649,31,50,100,200,50,0,125,700,3350,725,700,0,0,1250,0,0,1250,0,0,900,1400,100,50,0,0,196608,352256,700,700,0,0,0,0,0,0
0,700,90,215,559,111,12,150,500,0,0,0,0,1200,1900,600,250,0,225,900,1400,100,50,0,0,1250,0,0,1250,0,0,167936,188416,1200,250,0,0,0,0,0,0
1,710,1845,341,1035,671,33,50,50,250,50,0,175,700,3450,725,700,0,0,1250,0,0,1250,0,0,900,1400,100,50,0,0,200704,352256,700,700,0,0,0,0,0,0
0,710,40,231,699,134,14,150,500,0,0,0,0,1250,2000,600,250,0,225,900,1400,100,50,0,0,1250,0,0,1250,0,0,180224,188416,1250,250,0,0,0,0,0,0
1,720,1980,417,1091,649,34,0,0,250,0,0,175,750,3500,725,750,0,0,1250,0,0,1250,0,0,900,1400,100,50,0,0,200704,352256,750,750,0,0,0,0,0,0
0,720,175,243,1091,111,14,50,500,0,0,0,0,1350,2000,600,250,0,225,900,1400,100,50,0,0,1250,0,0,1250,0,0,180224,188416,1350,250,0,0,0,0,0,0
1,730,1915,293,1119,627,34,0,0,300,0,0,250,750,3500,775,750,0,25,1250,0,0,1250,0,0,900,1400,100,50,0,0,200704,352256,750,750,0,0,0,0,0,0
0,730,120,259,1455,134,16,0,500,0,0,0,0,1400,2100,600,250,0,225,900,1400,100,50,0,0,1250,0,0,1250,0,0,188416,188416,1400,250,0,0,0,0,0,0
